file;method;flaw
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Environment_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Environment_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_04.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_05.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_06.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_07.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_08.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_09.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_10.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_11.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_12.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_13.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_14.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_15.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_16.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_17.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_21.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_22a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_31.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_41.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_42.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_45.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_51b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_52c.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_53d.java;badSink;CWE22
