file;method;flaw
src/testcases/_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_01.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_02.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_03.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_04.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_05.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_06.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_07.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_08.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_09.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_10.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_11.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_12.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_13.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_14.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_15.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_16.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_17.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_21.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_22a.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_31.java;bad;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_41.java;badSink;CWE79
src/testcases/CWE81_XSS_Error_Message/CWE81_XSS_Error_Message__Servlet_File_42.java;bad;CWE79
