path;method;vulnerability
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_67b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_11.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_10.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_61b.java;badSource;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_53d.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_22a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_31.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_17.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_42.java;goodB2GSource;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_04.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_05.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_67b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_74a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_72b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_14.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_68b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_42.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_66b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_10.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_04.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_45.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_21.java;bad_source;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_12.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_10.java;bad;CWE79
src/testcases/CWE570_Expression_Always_False/CWE570_Expression_Always_False__class_getClass_equal_01.java;bad;CWE330
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_61a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_73b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_01.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_22a.java;goodB2G1;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_03.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_41.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_71b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_71b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_04.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_73b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_45.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_17.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_73a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_01.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_15.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_41.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_22a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_21.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_22a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_42.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_74a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_68b.java;goodG2BSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_22a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_66b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_66b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_51a.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_52c.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_12.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_45.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_17.java;bad;CWE79
